#Jade,et,al.
#name,lat,lon,ddNorth,sEast,dUp,sn,se,su,hangle,hnorm,norm
BJFS,115.89,39.61,-0.00499,-0.0046,nan,0.00292,0.00394,nan,-132.671215,0.006786759,0.006786759
CHMI,98.97,18.77,-0.0249,-0.0158,nan,0.00296,0.00489,nan,-122.3966855,0.029489829,0.029489829
CMU,98.9,18.8,-0.02584,-0.01404,nan,0.00389,0.00695,nan,-118.5171644,0.029407945,0.029407945
COCO,96.83,-12.19,-0.00077,0.00463,nan,0.00222,0.00372,nan,-9.442253635,0.004693591,0.004693591
CPN,99.4,10.7,-0.06747,-0.12739,nan,0.00253,0.00437,nan,-152.0928107,0.144154129,0.144154129
DAEJ,127.37,36.4,-0.00602,-0.00234,nan,0.0031,0.00396,nan,-111.2413191,0.006458792,0.006458792
DARW,131.13,-12.84,-0.00072,-0.00385,nan,0.0029,0.00507,nan,-169.4073032,0.003916746,0.003916746
DGAR,72.37,-7.27,-0.00071,0.00673,nan,0.00224,0.00398,nan,-6.02230067,0.006767348,0.006767348
HYDE,78.55,17.42,-0.00437,0.0068,nan,0.00195,0.00295,nan,-32.72670835,0.008083124,0.008083124
IISC,77.57,13.02,-0.00242,0.01234,nan,0.00196,0.003,nan,-11.09547641,0.012575055,0.012575055
KARR,117.1,-20.98,0.00136,-0.00328,nan,0.00263,0.00459,nan,157.4794344,0.003550775,0.003550775
KERG,70.26,-49.35,0.00076,0.00366,nan,0.00188,0.0028,nan,11.73077533,0.003738074,0.003738074
KIT3,66.89,39.13,-0.00308,-0.00153,nan,0.00157,0.00223,nan,-116.4160378,0.003439084,0.003439084
KMI,100.8,13.7,-0.04426,-0.0564,nan,0.00308,0.0051,nan,-141.8768871,0.071693149,0.071693149
KUAL,103.14,5.32,-0.00559,-0.05667,nan,0.00412,0.00769,nan,-174.3664967,0.056945035,0.056945035
KUNM,102.8,25.03,-0.00852,-0.00466,nan,0.00239,0.00354,nan,-118.6763818,0.009711128,0.009711128
LAE1,146.99,-6.67,-0.00954,-0.00639,nan,0.00489,0.00875,nan,-123.8146234,0.011482321,0.011482321
LHAS,91.1,29.66,-0.00276,-0.00109,nan,0.00287,0.00445,nan,-111.5504283,0.00296744,0.00296744
LNGG,101.16,-2.29,-0.00405,0.00553,nan,0.00246,0.00427,nan,-36.21788745,0.006854444,0.006854444
LUCK,80.9,26.9,-0.00184,0.0001,nan,0.00235,0.00391,nan,-86.88915935,0.001842715,0.001842715
MALI,40.19,-3,0.00035,-0.00041,nan,0.00373,0.00752,nan,139.5139885,0.000539073,0.000539073
MKMK,101.09,-2.54,-0.00593,0.00606,nan,0.00247,0.00437,nan,-44.37880238,0.008478709,0.008478709
MSAI,99.09,-1.33,-0.00854,0.00285,nan,0.00229,0.00364,nan,-71.54492621,0.009003005,0.009003005
NADI,76.3,32.2,0.00061,0.00176,nan,0.00201,0.00326,nan,19.11585133,0.001862713,0.001862713
NGNG,99.27,-1.8,-0.00794,0.00158,nan,0.00236,0.00399,nan,-78.74558667,0.008095678,0.008095678
NTUS,103.68,1.35,0.00165,-0.01462,nan,0.00222,0.00322,nan,173.5608965,0.014712814,0.014712814
NVSK,83.24,54.84,-0.00124,-0.01517,nan,0.00607,0.00842,nan,-175.3270161,0.015220595,0.015220595
NYAL,11.87,78.93,0.00069,0.00101,nan,0.00199,0.00217,nan,34.33965171,0.001223193,0.001223193
PBAI,98.53,-0.03,-0.00069,-0.00629,nan,0.00473,0.01819,nan,-173.7398023,0.006327733,0.006327733
PERT,115.89,-31.8,0.00074,0.00209,nan,0.00192,0.00281,nan,19.49737359,0.002217138,0.002217138
PHKT,98.31,8.11,-0.10772,-0.2393,nan,0.00256,0.00462,nan,-155.7652862,0.262427301,0.262427301
PIMO,121.08,14.64,-0.00549,-0.01073,nan,0.00255,0.00389,nan,-152.9034633,0.012052925,0.012052925
POL2,74.69,42.68,0.00293,-0.00432,nan,0.00189,0.00259,nan,145.8532808,0.005219895,0.005219895
PRKB,100.4,-2.97,-0.00723,0.00128,nan,0.00242,0.00431,nan,-79.96037756,0.007342431,0.007342431
RRLB,77.5,23.2,-0.00358,0.00071,nan,0.00234,0.0041,nan,-78.78243034,0.003649726,0.003649726
SAMP,98.72,3.62,-0.01905,-0.13252,nan,0.0025,0.00541,nan,-171.8196642,0.133882235,0.133882235
SEY1,55.48,-4.67,0.00558,0.00464,nan,0.00359,0.00723,nan,50.25508073,0.007257134,0.007257134
SHL2,91.9,25.6,-0.00245,-0.00124,nan,0.00268,0.00443,nan,-116.8449958,0.002745924,0.002745924
SIS2,99.867,17.157,-0.03214,-0.0304,nan,0.0026,0.00422,nan,-133.4063168,0.044239571,0.044239571
SUWN,127.05,37.28,-0.00302,-0.00591,nan,0.00328,0.00417,nan,-152.9330445,0.006636904,0.006636904
TIR0,77,8.4,-0.00186,0.01649,nan,0.00376,0.01007,nan,-6.435513045,0.016594568,0.016594568
TNML,120.99,24.8,-0.00242,-0.01039,nan,0.00284,0.0041,nan,-166.8886422,0.010668107,0.010668107
WIH2,78,30.3,-0.00111,0.00069,nan,0.0019,0.00274,nan,-58.13402231,0.001306981,0.001306981
WUHN,114.36,30.53,-0.00468,-0.00602,nan,0.00304,0.00451,nan,-142.1381969,0.007625143,0.007625143
YAR2,115.35,-29.05,-0.00049,0.00085,nan,0.00352,0.00555,nan,-29.9621841,0.000981122,0.000981122
#Vigny et al. (2005)
#site,Long.,Lat.,North,East,Up,sN,sE,sU,hangle,hnorm,norm
ALGO,281.929,45.956,-0.00176,-0.00535,nan,0.00436,0.00198,nan,-161.790244,0.00563206,0.00563206
ARAU,100.28,6.45,-0.02925,-0.14338,nan,0.00346,0.00464,nan,-168.4696855,0.146333137,0.146333137
BAHR,50.608,26.209,0.0017,0.00146,nan,0.00671,0.00857,nan,49.34323995,0.002240893,0.002240893
BAKO,106.849,-6.491,0.00095,-0.00169,nan,0.00185,0.00412,nan,150.6583453,0.001938711,0.001938711
BEHR,101.517,3.765,0.00368,-0.06455,nan,0.00144,0.00231,nan,176.7370955,0.064654813,0.064654813
BINT,113.067,3.262,-0.00075,-0.0083,nan,0.00152,0.00414,nan,-174.8366932,0.008333817,0.008333817
BNKK,100.607,13.668,-0.03989,-0.06732,nan,0.00326,0.00317,nan,-149.3514317,0.078250843,0.078250843
CHMI,98.973,18.771,-0.01896,-0.01772,nan,0.01459,0.01208,nan,-133.0638026,0.025951493,0.025951493
COCO,96.834,-12.188,0.00496,0.00215,nan,0.00237,0.00253,nan,66.56482393,0.005405932,0.005405932
DARW,131.133,-12.844,0.00179,0.00006,nan,0.00231,0.00492,nan,88.08018987,0.001791005,0.001791005
DGAR,72.37,-7.27,0.0053,0.00528,nan,0.00168,0.00299,nan,45.10830947,0.007481203,0.007481203
FAIR,212.501,64.978,-0.00128,-0.00259,nan,0.0044,0.00292,nan,-153.7010264,0.002889031,0.002889031
GOLD,243.111,35.425,-0.0004,-0.00118,nan,0.00388,0.0033,nan,-161.2742122,0.001245953,0.001245953
GUAM,144.868,13.589,0.00157,-0.00104,nan,0.00237,0.00491,nan,123.5213028,0.001883215,0.001883215
IISC,77.57,13.021,-0.00013,0.01168,nan,0.00239,0.00272,nan,-0.637683544,0.011680723,0.011680723
KARR,117.097,-20.981,0.00114,0.00092,nan,0.0033,0.00436,nan,51.09586154,0.001464923,0.001464923
KERG,70.256,-49.351,0.00158,-0.00379,nan,0.00472,0.00273,nan,157.3694015,0.004106154,0.004106154
KINA,116.039,5.905,-0.00128,-0.00904,nan,0.00174,0.00437,nan,-171.9408961,0.00913017,0.00913017
KIT3,66.885,39.135,-0.00133,-0.00039,nan,0.00457,0.00334,nan,-106.3428825,0.001386001,0.001386001
KOKB,200.335,22.126,0.00009,0.00122,nan,0.00488,0.00496,nan,4.219095349,0.001223315,0.001223315
KOSG,5.81,52.178,-0.00197,0.00104,nan,0.00442,0.00186,nan,-62.16958516,0.002227667,0.002227667
KUAL,103.139,5.319,0.00031,-0.06003,nan,0.00196,0.00334,nan,179.7041224,0.0600308,0.0600308
KUAN,103.35,3.834,0.00505,-0.04114,nan,0.00168,0.00322,nan,173.0018616,0.041448789,0.041448789
KUNM,102.797,25.03,-0.00689,-0.00644,nan,0.0051,0.00388,nan,-133.0665182,0.009431103,0.009431103
LABU,115.245,5.283,0.00004,-0.00859,nan,0.00164,0.00414,nan,179.7331997,0.008590093,0.008590093
LHAS,91.104,29.657,-0.00133,0.00166,nan,0.0066,0.00254,nan,-38.70187563,0.002127087,0.002127087
MAC1,158.936,-54.5,-0.02662,-0.00876,nan,0.00473,0.00316,nan,-108.2151286,0.028024311,0.028024311
MAS1,344.367,27.764,0.00031,0.00408,nan,0.00413,0.00293,nan,4.345007358,0.00409176,0.00409176
MIRI,114.002,4.372,-0.00079,-0.00634,nan,0.00193,0.0048,nan,-172.8972301,0.00638903,0.00638903
MKEA,204.544,19.801,0.00023,0.00275,nan,0.00308,0.00394,nan,4.780883875,0.002759601,0.002759601
NTUS,103.68,1.346,0.00635,-0.01935,nan,0.00134,0.0026,nan,161.8319551,0.020365289,0.020365289
ONSA,11.926,57.395,-0.00149,0.00042,nan,0.00411,0.00194,nan,-74.25796005,0.001548063,0.001548063
PALP,119.906,-0.916,0.00094,-0.00134,nan,0.00128,0.00394,nan,144.9506267,0.001636826,0.001636826
PERT,115.885,-31.802,0.0003,0.0013,nan,0.00405,0.00379,nan,12.99461679,0.001334166,0.001334166
PHKT,98.308,8.105,-0.10726,-0.2498,nan,0.00227,0.0032,nan,-156.7621124,0.271854276,0.271854276
PIMO,121.078,14.636,-0.00134,-0.00711,nan,0.00279,0.00537,nan,-169.3268337,0.007235171,0.007235171
SAMP,98.715,3.622,-0.01268,-0.14277,nan,0.00196,0.00359,nan,-174.9246393,0.143331976,0.143331976
SHAO,121.2,31.1,-0.00339,-0.00249,nan,0.00438,0.00452,nan,-126.2977762,0.00420621,0.00420621
SIS2,99.867,17.157,-0.02948,-0.02846,nan,0.00376,0.00308,nan,-133.9914453,0.040976115,0.040976115
TOBP,120.095,-0.709,0.00089,-0.001,nan,0.0015,0.00472,nan,138.3309174,0.001338693,0.001338693
TSKB,140.087,36.106,-0.00227,0.00031,nan,0.00374,0.00383,nan,-82.22357081,0.00229107,0.00229107
UNO0,116.826,-1.269,-0.00108,-0.00079,nan,0.00141,0.00425,nan,-126.184779,0.001338096,0.001338096
USMP,100.304,5.358,-0.01542,-0.12744,nan,0.00258,0.0041,nan,-173.1008572,0.128369506,0.128369506
VILL,356.048,40.444,0.00048,0.00184,nan,0.00422,0.00173,nan,14.62087399,0.001901578,0.001901578
WATP,119.587,-0.874,-0.00038,-0.00239,nan,0.00131,0.00401,nan,-170.9658312,0.002420021,0.002420021
WUHN,114.357,30.532,-0.00294,-0.00195,nan,0.00398,0.0035,nan,-123.5549362,0.003527903,0.003527903
YAR1,115.347,-29.047,0.00068,0.00175,nan,0.00374,0.00367,nan,21.23470413,0.001877472,0.001877472
YELL,245.519,62.481,-0.00144,0.00062,nan,0.00386,0.00228,nan,-66.70543675,0.001567801,0.001567801
HYDE,78.551,17.417,-0.00083,0.00704,nan,0.00315,0.00252,nan,-6.724002568,0.007088759,0.007088759
KTPK,101.718,3.171,0.00546,-0.04989,nan,0.00227,0.00372,nan,173.7543619,0.050187884,0.050187884
UTMJ,103.64,1.566,0.00755,-0.0206,nan,0.00172,0.00327,nan,159.8718694,0.021939975,0.021939975
TIDB,148.98,-35.399,-0.00089,0.00448,nan,0.0046,0.00427,nan,-11.23612945,0.004567549,0.004567549
BANT,101.537,2.826,0.00709,-0.04491,nan,0.00206,0.00348,nan,171.0286837,0.045466209,0.045466209
BKPL,100.218,5.339,-0.01612,-0.13186,nan,0.00247,0.00341,nan,-173.0301259,0.132841688,0.132841688
GMUS,101.964,4.863,0.00089,-0.07374,nan,0.00274,0.00427,nan,179.308506,0.073745371,0.073745371
GRIK,101.13,5.439,-0.00798,-0.09954,nan,0.00224,0.00329,nan,-175.4164702,0.099859361,0.099859361
JHJY,103.797,1.537,0.00662,-0.01835,nan,0.00194,0.0036,nan,160.1624349,0.019507611,0.019507611
JUIP,101.091,4.6,0.00006,-0.08755,nan,0.00214,0.0032,nan,179.9607339,0.087550021,0.087550021
JUML,102.256,2.212,0.00675,-0.02893,nan,0.00196,0.00341,nan,166.8666038,0.029707026,0.029707026
KKBH,101.659,3.561,0.00464,-0.05608,nan,0.00218,0.00351,nan,175.2701811,0.056271627,0.056271627
KLAW,102.064,2.982,0.0061,-0.0413,nan,0.00218,0.00366,nan,171.5981717,0.041748054,0.041748054
KLUG,103.317,2.025,0.00746,-0.02422,nan,0.00209,0.0038,nan,162.8806491,0.025342849,0.025342849
KUKP,103.453,1.333,0.00659,-0.01709,nan,0.00205,0.00374,nan,158.9130806,0.018316555,0.018316555
LGKW,99.851,6.329,-0.03733,-0.16617,nan,0.00244,0.00315,nan,-167.3387349,0.170311473,0.170311473
MERS,103.829,2.453,0.0076,-0.02519,nan,0.00216,0.00396,nan,163.2110682,0.02631152,0.02631152
MERU,101.407,3.138,0.00591,-0.05119,nan,0.00214,0.00351,nan,173.4142319,0.051530032,0.051530032
PEKN,103.39,3.493,0.00582,-0.03661,nan,0.00209,0.00362,nan,170.9671086,0.037069725,0.037069725
PUPK,100.559,4.207,-0.00031,-0.09195,nan,0.00218,0.00349,nan,-179.8068339,0.091950523,0.091950523
SELM,100.695,5.217,-0.0092,-0.11217,nan,0.0022,0.00315,nan,-175.3111889,0.112546652,0.112546652
SGPT,100.488,5.644,-0.01628,-0.12804,nan,0.00231,0.00313,nan,-172.7538511,0.129070833,0.129070833
TGPG,104.108,1.367,0.00596,-0.01805,nan,0.00192,0.00362,nan,161.7270917,0.019008527,0.019008527
TLOH,102.419,3.449,0.00555,-0.04346,nan,0.00209,0.00348,nan,172.722511,0.043812944,0.043812944
UPMS,101.724,2.993,0.00658,-0.04548,nan,0.0023,0.00388,nan,171.7676279,0.045953529,0.045953529
UUMK,100.506,6.462,-0.02554,-0.13558,nan,0.00285,0.00389,nan,-169.3318733,0.13796459,0.13796459
SAND,118.121,5.842,-0.00137,-0.0074,nan,0.00307,0.00797,nan,-169.5112956,0.007525749,0.007525749
TAWX,117.882,4.263,0.00011,-0.0031,nan,0.00349,0.00962,nan,177.9677766,0.003101951,0.003101951
BANH,99.076,10.61,-0.07482,-0.15507,nan,0.00237,0.00395,nan,-154.2430729,0.172176471,0.172176471
CHON,101.045,13.121,-0.03835,-0.06836,nan,0.00203,0.00265,nan,-150.7075494,0.078382473,0.078382473
GETI,102.105,6.226,-0.00444,-0.08317,nan,0.00202,0.003,nan,-176.9441865,0.08328843,0.08328843
NAKH,100.122,15.673,-0.04404,-0.03938,nan,0.00275,0.00412,nan,-131.8026717,0.059078812,0.059078812
OTRI,99.371,18.335,-0.0231,-0.0215,nan,0.00238,0.00429,nan,-132.9454271,0.03155725,0.03155725
PHUK,98.304,7.759,-0.10193,-0.2525,nan,0.00185,0.00249,nan,-158.0168995,0.272297585,0.272297585
RYNG,101.033,12.764,-0.0371,-0.07428,nan,0.00181,0.00236,nan,-153.4596373,0.083029684,0.083029684
SRIS,104.416,14.901,-0.018,-0.03264,nan,0.00218,0.00303,nan,-151.1245566,0.037274248,0.037274248
UTHA,100.013,15.384,-0.03954,-0.04715,nan,0.00192,0.00236,nan,-140.0167959,0.06153482,0.06153482
KUCH,110.195,1.632,-0.00116,-0.01307,nan,0.00815,0.01342,nan,-174.9281245,0.013121376,0.013121376

