>	aa
92.493332	5.615986
92.490814	5.621236
92.485275	5.632815
92.476662	5.650972
92.462891	5.680000
92.460938	5.684089
92.460045	5.685957
92.459244	5.687644
92.455925	5.694605
92.443336	5.720939
92.430832	5.747108
92.427361	5.754350
92.426605	5.755919
92.425995	5.757192
92.425781	5.757631
92.424629	5.760000
92.410835	5.790897
92.398888	5.817650
92.397461	5.820845
92.395241	5.825873
92.390625	5.836333
92.389008	5.840000
92.381027	5.860846
92.375122	5.876266
92.371765	5.885033
92.367615	5.895818
92.358292	5.920000
92.355469	5.927831
92.354401	5.930787
92.353806	5.932441
92.347076	5.951086
92.341827	5.965754
92.334282	5.986822
92.329567	6.000000
92.329308	6.000718
92.322220	6.020258
92.320312	6.025542
92.316650	6.035681
92.314590	6.041372
92.304008	6.070641
92.300621	6.080000
92.295578	6.093926
92.294830	6.095982
92.291321	6.105599
92.285156	6.122519
92.278580	6.140555
92.274849	6.150804
92.271500	6.160000
92.267670	6.171209
92.266205	6.175508
92.256447	6.204049
92.254257	6.210459
92.250000	6.222915
92.244164	6.240000
92.242409	6.245408
92.241211	6.249096
92.238792	6.256549
92.231064	6.280354
92.222046	6.308140
92.219719	6.315299
92.218193	6.320000
92.215248	6.329099
92.214844	6.330350
92.208374	6.350240
92.205284	6.359743
92.197006	6.385180
92.192184	6.400000
92.188393	6.411467
92.187447	6.414322
92.185532	6.420117
92.179688	6.437783
92.173981	6.455051
92.171181	6.463502
92.165726	6.480000
92.162430	6.489983
92.157501	6.504912
92.154015	6.515490
92.150909	6.524913
92.144531	6.544277
92.139404	6.559840
92.139351	6.560000
92.136986	6.567337
92.128143	6.594765
92.127563	6.596558
92.120514	6.618622
92.116982	6.629688
92.113686	6.640000
92.109375	6.654268
92.106247	6.664608
92.104912	6.669042
92.100677	6.683063
92.095718	6.699525
92.089890	6.718878
92.089554	6.720000
92.085342	6.734440
92.075539	6.768041
92.075249	6.769031
92.075157	6.769352
92.074219	6.772573
92.066231	6.800000
92.064919	6.804262
92.060822	6.817564
92.054176	6.839170
92.045349	6.867830
92.044098	6.871891
92.043427	6.874074
92.041603	6.880000
92.039062	6.887818
92.037239	6.893443
92.032196	6.908977
92.028931	6.919031
92.020874	6.943876
92.015640	6.960000
92.012321	6.970417
92.009659	6.978773
92.003906	6.996841
92.000885	7.006338
91.998550	7.013668
91.996086	7.021433
91.990181	7.040000
91.987579	7.048560
91.980530	7.071756
91.976982	7.083449
91.973740	7.094100
91.968750	7.110547
91.966385	7.118336
91.965881	7.120000
91.965378	7.121681
91.959671	7.140843
91.955971	7.153220
91.950577	7.171247
91.945541	7.188101
91.941986	7.200000
91.936020	7.220572
91.935326	7.222979
91.933594	7.228939
91.930298	7.240312
91.925255	7.257855
91.921936	7.269421
91.918892	7.280000
91.915390	7.292729
91.908554	7.317565
